"3001","ability","能力","名詞"
"3002","aboard","（船・車に）乗って","副詞"
"3003","absence","不在・欠席","名詞"
"3004","absolute","絶対的な","形容詞"
"3005","absorb","吸収する","動詞"
"3006","abstract","抽象的な","形容詞"
"3007","academic","学問的な","形容詞"
"3009","acceptable","受け入れられる","形容詞"
"3010","access","接近・利用","名詞"
"3011","accidentally","偶然に","副詞"
"3012","accommodation","宿泊施設","名詞"
"3013","accompany","同行する","動詞"
"3014","accomplish","成し遂げる","動詞"
"3016","account","口座・説明","名詞"
"3017","accurate","正確な","形容詞"
"3018","accuse","非難する","動詞"
"3019","accustomed","慣れている","形容詞"
"3020","achievement","達成","名詞"
"3021","acid","酸性の","形容詞"
"3022","acknowledge","認める","動詞"
"3023","acquire","習得する","動詞"
"3025","adapt","適応させる","動詞"
"3026","additional","追加の","形容詞"
"3027","adequate","適切な","形容詞"
"3028","adjust","調整する","動詞"
"3029","administration","管理・行政","名詞"
"3030","admirable","賞賛すべき","形容詞"
"3031","admiration","感嘆","名詞"
"3032","admission","入場・入学","名詞"
"3033","adulthood","成人期","名詞"
"3034","advanced","進歩した","形容詞"
"3035","advantageous","有利な","形容詞"
"3036","advertise","宣伝する","動詞"
"3037","advertisement","広告","名詞"
"3039","advocate","提唱する","動詞"
"3040","affair","事件・事柄","名詞"
"3041","affection","愛情","名詞"
"3042","agency","代理店","名詞"
"3043","aggressive","攻撃的な","形容詞"
"3044","agriculture","農業","名詞"
"3045","airline","航空会社","名詞"
"3050","allowance","小遣い・手当","名詞"
"3051","altitude","高度","名詞"
"3054","ambassador","大使","名詞"
"3055","ambition","野心","名詞"
"3058","analysis","分析","名詞"
"3061","anecdote","逸話","名詞"
"3064","annoy","イライラさせる","動詞"
"3065","annual","毎年の","形容詞"
"3066","anonymous","匿名の","形容詞"
"3067","anticipate","予想する","動詞"
"3068","antique","骨董品","名詞"
"3069","anxiety","不安","名詞"
"3070","apologize","謝る","動詞"
"3071","apparent","明白な","形容詞"
"3074","appetite","食欲","名詞"
"3075","applaud","拍手する","動詞"
"3076","appliance","器具・電化製品","名詞"
"3077","applicant","志願者","名詞"
"3078","appoint","指名する・予約する","動詞"
"3079","appreciate","感謝する・正しく評価する","動詞"
"3081","appropriate","適切な","形容詞"
"3082","approve","承認する","動詞"
"3083","approximate","おおよその","形容詞"
"3084","architect","建築家","名詞"
"3085","architecture","建築","名詞"
"3086","arctic","北極の","形容詞"
"3088","arise","生じる","動詞"
"3089","arithmetic","計算・算数","名詞"
"3090","arouse","刺激する・目覚めさせる","動詞"
"3091","arrest","逮捕する","動詞"
"3094","artificial","人工的な","形容詞"
"3095","artistic","芸術的な","形容詞"
"3096","ashamed","恥じている","形容詞"
"3097","aspect","側面","名詞"
"3099","assemble","組み立てる・集まる","動詞"
"3100","assembly","集会・組み立て","名詞"
"3101","assert","主張する","動詞"
"3102","assess","評価する","動詞"
"3103","asset","資産","名詞"
"3104","assign","割り当てる","動詞"
"3108","associate","関連づける","動詞"
"3109","association","協会・連合","名詞"
"3110","assume","仮定する","動詞"
"3111","assumption","想定","名詞"
"3112","assure","保証する","動詞"
"3113","astonish","ひどく驚かせる","動詞"
"3114","astronaut","宇宙飛行士","名詞"
"3115","astronomy","天文学","名詞"
"3117","athletic","競技の・たくましい","形容詞"
"3120","attachment","添付・愛着","名詞"
"3122","attain","達成する","動詞"
"3127","attract","惹きつける","動詞"
"3128","attraction","魅力・観光名所","名詞"
"3130","attribute","〜のせいにする","動詞"
"3131","auction","オークション","名詞"
"3134","audit","監査","名詞"
"3136","auditorium","講堂","名詞"
"3138","authentic","本物の","形容詞"
"3140","authority","権威・当局","名詞"
"3141","authorize","権限を与える","動詞"
"3143","automation","自動化","名詞"
"3145","autonomy","自治","名詞"
"3147","auxiliary","補助の","形容詞"
"3153","avoidance","回避","名詞"
"3154","await","待ち受ける","動詞"
"3159","awareness","意識","名詞"
"3162","awkward","不器用な・気まずい","形容詞"
"3163","axis","軸","名詞"
"3164","bachelor","独身男性・学士","名詞"
"3165","backbone","背骨・中枢","名詞"
"3169","bacteria","細菌","名詞"
"3171","baggage","手荷物","名詞"
"3177","ballot","投票","名詞"
"3178","ban","禁止する","動詞"
"3181","bankrupt","破産した","形容詞"
"3182","bankruptcy","破産","名詞"
"3184","banquet","宴会","名詞"
"3187","bare","裸の・かろうじての","形容詞"
"3188","barely","かろうじて","副詞"
